project_id,article_id,url,pdf_url,is_fulltext,is_duplicate,is_include_ab,is_include_ft,tags,cite_id
138103,5136327,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136327/5136327_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136327/5136327_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;SARS-CoV-2 or COVID-19;Diabetes,2055_149
138103,5136328,,,,0,0,,Systematic review,2055_150
138103,5136329,,,,0,0,,Systematic review;Scoping review;Adult,2055_151
138103,5136330,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136330/5136330_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136330/5136330_5376d606-3858-43ff-9bc0-e8f7b128ed3d.pdf,1,0,1,1,Adult;SARS-CoV-2 or COVID-19;Gastrointestinal manifestations,2055_152
138103,5136331,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136331/5136331_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136331/5136331_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,SARS-CoV-2 or COVID-19;Rapid review;All health outcomes,2055_153
138103,5136332,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136332/5136332_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136332/5136332_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Meta-analysis;Systematic review;Cardiopulmonary manifestations,2055_154
138103,5136333,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136333/5136333_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136333/5136333_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Meta-analysis;All health outcomes,2055_155
138103,5136334,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136334/5136334_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136334/5136334_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Psychological manifestations,2055_156
138103,5136335,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136335/5136335_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136335/5136335_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Other health outcomes;Systematic review,2055_157
138103,5136336,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136336/5136336_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136336/5136336_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Narrative review;Systemic manifestations;All health outcomes,2055_158
138103,5136337,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136337/5136337_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136337/5136337_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Neuropathic pain;Neurological and neuromuscular manifestations;Systematic review,2055_159
138103,5136338,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136338/5136338_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136338/5136338_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Narrative review;SARS-CoV-2 or COVID-19;All health outcomes,2055_160
138103,5136339,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136339/5136339_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136339/5136339_20230525014047139.pdf,1,0,1,1,All health outcomes;Comprehensive review;SARS-CoV-2 or COVID-19,2055_161
